Country,CatalogNumber,AudioURL
Armenia,MON71321_118,http://www.folkways.si.edu/armenian-state-chorus/pesin-govki/world/music/track/smithsonian
Armenia,MON71321_112,http://www.folkways.si.edu/armenian-song-dance-ensemble/zumrukt/world/music/track/smithsonian
Armenia,MON71321_124,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-s-dzherbashian/donagan-bar/world/music/track/smithsonian
Armenia,MON00352_101,http://www.folkways.si.edu/armenian-song-dance-ensemble/kapama-stewing-pot/world/music/track/smithsonian
Armenia,MON61452_102,http://www.folkways.si.edu/hachig-kazarian-ensemble/hars-yem-peroom/world/music/track/smithsonian
Armenia,MON71321_103,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-s-dzherbashian/narine-bar/world/music/track/smithsonian
Armenia,SFW40414_107,http://www.folkways.si.edu/richard-hagopian/arshin-mal-alan-excerpt-from-the-operetta/world/music/track/smithsonian
Armenia,MON71321_102,http://www.folkways.si.edu/armenian-song-dance-ensemble/ichav-marmand-irikun/tzakhasari-kanach-landjin/world/music/track/smithsonian
Armenia,MON61452_112,http://www.folkways.si.edu/hachig-kazarian-ensemble/misirlou/world/music/track/smithsonian
Armenia,MON71321_114,http://www.folkways.si.edu/gurgen-mirzoyan-with-ensemble-of-folk-instruments/mi-lar-bulbul/world/music/track/smithsonian
Armenia,MON71352_116,http://www.folkways.si.edu/armenian-song-dance-ensemble/akhourian-bar-dance-of-akhourian/world/music/track/smithsonian
Armenia,MON71321_120,http://www.folkways.si.edu/armenian-song-dance-ensemble/asa-inch-anem/world/music/track/smithsonian
Armenia,FW08752_206,http://www.folkways.si.edu/armenian-folk-dance/world/music/track/smithsonian
Armenia,MON71321_106,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-a-merangulian/ey-maral-aghtchig/world/music/track/smithsonian
Armenia,SFW40414_109,http://www.folkways.si.edu/richard-hagopian/hele-hele/world/music/track/smithsonian
Armenia,MON00815_105,http://www.folkways.si.edu/liz-sarian/r-abovian/world/music/track/smithsonian
Armenia,MON61452_108,http://www.folkways.si.edu/hachig-kazarian-ensemble/oud-fantasy/world/music/track/smithsonian
Armenia,MON71352_105,http://www.folkways.si.edu/armenian-song-dance-ensemble/eraz-a-dream/world/music/track/smithsonian
Armenia,MON00815_203,http://www.folkways.si.edu/liz-sarian/mairs/world/music/track/smithsonian
Armenia,MON71352_108,http://www.folkways.si.edu/armenian-song-dance-ensemble/gadagayan-bar-humourous-dance/world/music/track/smithsonian
Armenia,MON71321_116,http://www.folkways.si.edu/armenian-song-dance-ensemble/hars-em-gnum/world/music/track/smithsonian
Armenia,SFW40414_108,http://www.folkways.si.edu/richard-hagopian/rast-saz-semai/world/music/track/smithsonian
Armenia,MON00457_202,http://www.folkways.si.edu/the-cosmopolitan-chorale/aravod-morning/world/music/track/smithsonian
Armenia,MON71321_119,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-a-merangulian/intz-mi-khentrir/world/music/track/smithsonian
Armenia,MON71775_102,http://www.folkways.si.edu/john-vartan-ensemble/dance-armenian-laz-bahr/world/music/track/smithsonian
Armenia,MON00352_112,http://www.folkways.si.edu/armenian-song-dance-ensemble/kapel-es-gisoved-she-tied-her-braids/world/music/track/smithsonian
Armenia,MON00457_105,http://www.folkways.si.edu/the-cosmopolitan-chorale/gypsies/world/music/track/smithsonian
Armenia,MON71321_108,http://www.folkways.si.edu/armenian-state-chorus/gatzek-tesek/world/music/track/smithsonian
Armenia,MON61452_110,http://www.folkways.si.edu/hachig-kazarian-ensemble/naz-bar/aree-balas/yar-vor-jan-eem-medley/world/music/track/smithsonian
Armenia,MON71321_121,http://www.folkways.si.edu/armenian-orchestra-of-folk-instruments/inch-kamenas-ingerid/world/music/track/smithsonian
Armenia,MON71352_120,http://www.folkways.si.edu/armenian-song-dance-ensemble/chochan-male-dance/world/music/track/smithsonian
Armenia,MON00815_104,http://www.folkways.si.edu/liz-sarian/hayasdani-artchik/world/music/track/smithsonian
Armenia,MON71352_113,http://www.folkways.si.edu/armenian-song-dance-ensemble/jairanik-armenian-folk-dance/world/music/track/smithsonian
Armenia,MON61452_107,http://www.folkways.si.edu/hachig-kazarian-ensemble/sonon-yelov/world/music/track/smithsonian
Armenia,MON00815_204,http://www.folkways.si.edu/liz-sarian/tou-inz-hamar/world/music/track/smithsonian
Armenia,MON00457_203,http://www.folkways.si.edu/the-cosmopolitan-chorale/varte-the-rose/world/music/track/smithsonian
Armenia,MON71321_101,http://www.folkways.si.edu/armenian-state-chorus/kuzhn-ara/gna-gna/world/music/track/smithsonian
Armenia,SFW40414_110,http://www.folkways.si.edu/richard-hagopian/kurdili-hicazkiar-longa/world/music/track/smithsonian
Armenia,MON00815_201,http://www.folkways.si.edu/liz-sarian/yerevani-siroun-artchik/world/music/track/smithsonian
Armenia,MON71352_107,http://www.folkways.si.edu/armenian-song-dance-ensemble/horovel/world/music/track/smithsonian
Armenia,MON71321_117,http://www.folkways.si.edu/levon-madoyan-hachik-khachatrian-vladimir-egorian/derbent/world/music/track/smithsonian
Armenia,MON71775_112,http://www.folkways.si.edu/john-vartan-ensemble/duet-dance/world/music/track/smithsonian
Armenia,MON00352_109,http://www.folkways.si.edu/armenian-song-dance-ensemble/tkha-zaven-a-guy-named-zaven/world/music/track/smithsonian
Armenia,MON00352_108,http://www.folkways.si.edu/armenian-song-dance-ensemble/inch-kamenas-ingerid-what-do-you-want-from-a-friend/world/music/track/smithsonian
Armenia,MON71352_103,http://www.folkways.si.edu/armenian-song-dance-ensemble/kapama-stewing-pot-2/world/music/track/smithsonian
Armenia,MON71775_104,http://www.folkways.si.edu/john-vartan-ensemble/margo/world/music/track/smithsonian
Armenia,SFW40414_113,http://www.folkways.si.edu/richard-hagopian/seghane-e-arad/world/music/track/smithsonian
Armenia,MON00457_103,http://www.folkways.si.edu/the-cosmopolitan-chorale/hinkala/world/music/track/smithsonian
Armenia,MON71352_109,http://www.folkways.si.edu/armenian-song-dance-ensemble/gutani-yerg-song-of-the-harvester-2/world/music/track/smithsonian
Armenia,MON00457_104,http://www.folkways.si.edu/the-cosmopolitan-chorale/yes-im-anoosh-hayastani/world/music/track/smithsonian
Armenia,MON00352_107,http://www.folkways.si.edu/armenian-song-dance-ensemble/asa-inch-anem-tell-me-what-to-do/world/music/track/smithsonian
Armenia,MON71352_118,http://www.folkways.si.edu/armenian-song-dance-ensemble/es-gisher-lusnak-gisher-this-night-moonlit-night/world/music/track/smithsonian
Armenia,MON00352_113,http://www.folkways.si.edu/armenian-song-dance-ensemble/es-gisher-lusnak-gisher-this-night-moonlit-night/ervum-em-my-heart-is-aflame-medley/world/music/track/smithsonian
Armenia,MON71321_113,http://www.folkways.si.edu/armenian-state-chorus/alagyas/world/music/track/smithsonian
Armenia,MON71775_110,http://www.folkways.si.edu/john-vartan-ensemble/asa-inch-anem/world/music/track/smithsonian
Armenia,MON00457_205,http://www.folkways.si.edu/the-cosmopolitan-chorale/ooreny-the-willow/world/music/track/smithsonian
Armenia,MON00457_106,http://www.folkways.si.edu/the-cosmopolitan-chorale/alvartin-yeraze-alvarts-dream/world/music/track/smithsonian
Armenia,MON71352_101,http://www.folkways.si.edu/armenian-song-dance-ensemble/sirem-ki-to-love/world/music/track/smithsonian
Armenia,MON71352_110,http://www.folkways.si.edu/armenian-song-dance-ensemble/sirerg-love-song-2/world/music/track/smithsonian
Armenia,MON71352_114,http://www.folkways.si.edu/armenian-song-dance-ensemble/khekhch-marti-poor-man-2/world/music/track/smithsonian
Armenia,MON00815_202,http://www.folkways.si.edu/liz-sarian/garavane/world/music/track/smithsonian
Armenia,MON61452_103,http://www.folkways.si.edu/hachig-kazarian-ensemble/tomzara/world/music/track/smithsonian
Armenia,MON61452_105,http://www.folkways.si.edu/hachig-kazarian-ensemble/daldala-satchme/world/music/track/smithsonian
Armenia,SFW40414_112,http://www.folkways.si.edu/richard-hagopian/tamzara/world/music/track/smithsonian
Armenia,MON00815_103,http://www.folkways.si.edu/liz-sarian/aravodian-archalouys/world/music/track/smithsonian
Armenia,MON71352_104,http://www.folkways.si.edu/armenian-song-dance-ensemble/sari-sirun-yar-mountain-beauty-2/world/music/track/smithsonian
Armenia,MON00815_102,http://www.folkways.si.edu/liz-sarian/seres-kardni-tor-mena/world/music/track/smithsonian
Armenia,MON71775_107,http://www.folkways.si.edu/john-vartan-ensemble/parev-darek/world/music/track/smithsonian
Armenia,MON71321_109,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-a-merangulian/kenarigi-bar/world/music/track/smithsonian
Armenia,MON00352_106,http://www.folkways.si.edu/armenian-song-dance-ensemble/lusnak-anush-moonlit-night/world/music/track/smithsonian
Australia,FW04102_135,http://www.folkways.si.edu/christopher-jeffrey/song-by-christopher-jeffrey-2/world/music/track/smithsonian
Australia,FW08718_109,http://www.folkways.si.edu/john-greenway/bold-jack-donahue/world/music/track/smithsonian
Australia,FW08718_106,http://www.folkways.si.edu/john-greenway/brisbane-ladies/world/music/track/smithsonian
Australia,FW04102_109,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/untitled-song-2/world/music/track/smithsonian
Australia,FW04102_103,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-with-didjeridu-3/world/music/track/smithsonian
Australia,FW04102_105,http://www.folkways.si.edu/albert/untitled-song-2/world/music/track/smithsonian
Australia,FW04025_111,http://www.folkways.si.edu/wiz-nawia/krarau-sagul-mask-dance-song/world/music/track/smithsonian
Australia,FW08718_206,http://www.folkways.si.edu/john-greenway/les-darcy/world/music/track/smithsonian
Australia,FW04102_131,http://www.folkways.si.edu/group-of-yindjibarndi-women/female-group-2/world/music/track/smithsonian
Australia,FW04025_118,http://www.folkways.si.edu/madu-paul/umana-prelude-to-a-dance/world/music/track/smithsonian
Australia,SFW40430_102,http://www.folkways.si.edu/alan-maralung-with-peter-manaberu/bushfire/world/music/track/smithsonian
Australia,FW04025_106,http://www.folkways.si.edu/madu-paul/song-from-a-folk-tale/world/music/track/smithsonian
Australia,FW04102_126,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-by-male-group-6/world/music/track/smithsonian
Australia,FW04025_102,http://www.folkways.si.edu/madu-paul/pipi-or-war-dance-song/world/music/track/smithsonian
Australia,FW04211_110,http://www.folkways.si.edu/billy-daniels/the-saga-of-the-crocodile-hero-5/world/music/track/smithsonian
Australia,FW04102_119,http://www.folkways.si.edu/kupangu/song-by-kupangu-6/world/music/track/smithsonian
Australia,SFW40430_106,http://www.folkways.si.edu/alan-maralung-with-peter-manaberu/brolga/world/music/track/smithsonian
Australia,FW08718_103,http://www.folkways.si.edu/john-greenway/the-dying-stockman/world/music/track/smithsonian
Australia,FW04439_107,http://www.folkways.si.edu/didjeridu-puller-with-rhythm-sticks/didjeridu/world/music/track/smithsonian
Australia,FW04211_213,http://www.folkways.si.edu/billy-edwards-george-morton-and-others/dance-rehearsal/world/music/track/smithsonian
Australia,FW04102_118,http://www.folkways.si.edu/kupangu/song-by-kupangu-5/world/music/track/smithsonian
Australia,FW04102_121,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-by-male-group/world/music/track/smithsonian
Australia,FW08718_105,http://www.folkways.si.edu/john-greenway/one-of-the-has-beens/world/music/track/smithsonian
Australia,FW08718_207,http://www.folkways.si.edu/john-greenway/stockmans-last-bed/world/music/track/smithsonian
Australia,FW08718_107,http://www.folkways.si.edu/john-greenway/castlereagh-river/world/music/track/smithsonian
Australia,FW04025_120,http://www.folkways.si.edu/anu-ara-and-female-singers/kab-chant-for-the-entry-of-the-dancers/world/music/track/smithsonian
Australia,FW04211_113,http://www.folkways.si.edu/billy-daniels-edward-kanora-and-hughie-temple/song/world/music/track/smithsonian
Australia,FW04102_136,http://www.folkways.si.edu/peter-creek-and-furry-short/ti-ti/world/music/track/smithsonian
Australia,FW04102_137,http://www.folkways.si.edu/peter-creek-and-furry-short/bora/world/music/track/smithsonian
Australia,FW08718_202,http://www.folkways.si.edu/john-greenway/the-dog-sat-on-the-tucker-box/world/music/track/smithsonian
Australia,SFW40430_104,http://www.folkways.si.edu/alan-maralung-with-peter-manaberu/green-frog/world/music/track/smithsonian
Australia,FW04025_108,http://www.folkways.si.edu/jimmie-luffman-and-manesse-bani/song-from-the-folk-tale-of-dogai-saurkeke/world/music/track/smithsonian
Australia,FW04211_205,http://www.folkways.si.edu/billy-daniels/song/world/music/track/smithsonian
Australia,FW04102_130,http://www.folkways.si.edu/group-of-yindjibarndi-women/female-group/world/music/track/smithsonian
Australia,FW04025_124,http://www.folkways.si.edu/mose-dau/kab-song/world/music/track/smithsonian
Australia,FW04439_105,http://www.folkways.si.edu/group-of-wadamiri/wadamiri-2/world/music/track/smithsonian
Australia,FW04211_103,http://www.folkways.si.edu/billy-daniels/the-saga-of-the-crocodile-hero-2/world/music/track/smithsonian
Australia,FW04102_132,http://www.folkways.si.edu/albert-and-rosie/song-by-albert-and-rosie/world/music/track/smithsonian
Australia,FW04439_108,http://www.folkways.si.edu/gunborg-singer/gunborg-singing/world/music/track/smithsonian
Australia,FW04102_102,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-with-didjeridu-2/world/music/track/smithsonian
Australia,FW04439_114,http://www.folkways.si.edu/yirritja-and-dhuwa-moieties/sacred-song/world/music/track/smithsonian
Australia,FW04025_117,http://www.folkways.si.edu/bob-lee-kame-paipai-and-refu-dugui/kulai-kuiku-kab-fourth-final-dance-song/world/music/track/smithsonian
Australia,FW04211_210,http://www.folkways.si.edu/edward-kanora-and-male-singers/narration-and-song/world/music/track/smithsonian
Australia,FW04025_112,http://www.folkways.si.edu/sailor-miskin/krarau-sagul-song-mask-dance-song/world/music/track/smithsonian
Australia,SFW40430_105,http://www.folkways.si.edu/alan-maralung-with-peter-manaberu/jabiru/world/music/track/smithsonian
Australia,FW04025_122,http://www.folkways.si.edu/kame-paipai-and-jimmie-luffman/kab-song/world/music/track/smithsonian
Australia,FW04025_103,http://www.folkways.si.edu/kame-paipai-jimmie-luffman-and-manesse-bani/kawaladi-kuiams-war-dance-song/world/music/track/smithsonian
Australia,SFW40430_108,http://www.folkways.si.edu/alan-maralung-with-peter-manaberu/minmin-light/world/music/track/smithsonian
Australia,FW04439_102,http://www.folkways.si.edu/group-of-rirratjingu/djedbang-ari/world/music/track/smithsonian
Australia,FW04025_105,http://www.folkways.si.edu/madu-paul/death-dance-after-a-fight/world/music/track/smithsonian
Australia,FW04211_102,http://www.folkways.si.edu/johnny-short/song-pascoe-bora/world/music/track/smithsonian
Australia,FW04102_134,http://www.folkways.si.edu/christopher-jeffrey/song-by-christopher-jeffrey/world/music/track/smithsonian
Australia,FW08718_205,http://www.folkways.si.edu/john-greenway/wallaby-stew/world/music/track/smithsonian
Australia,FW08718_203,http://www.folkways.si.edu/john-greenway/lazy-harrys/world/music/track/smithsonian
Australia,FW04102_111,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/untitled-song-4/world/music/track/smithsonian
Australia,FW04439_106,http://www.folkways.si.edu/aboriginal-songman/maraian-chant/world/music/track/smithsonian
Australia,FW04211_211,http://www.folkways.si.edu/billy-daniels-edward-kanora-and-hughie-temple/narration-and-song/world/music/track/smithsonian
Australia,FW04025_126,http://www.folkways.si.edu/kelam-wop-jimmie-luffman-and-manesse-bani/dance-song-from-the-south-pacific-dance-song-from-rotuma/world/music/track/smithsonian
Australia,FW04211_212,http://www.folkways.si.edu/billy-daniels/the-saga-of-the-crocodile-hero-12/world/music/track/smithsonian
Australia,FW04439_112,http://www.folkways.si.edu/young-boys-with-songman/djarada/world/music/track/smithsonian
Australia,FW08718_104,http://www.folkways.si.edu/john-greenway/bluey-brink/world/music/track/smithsonian
Australia,SFW40430_101,http://www.folkways.si.edu/alan-maralung-with-peter-manaberu/new-song/world/music/track/smithsonian
Australia,FW04211_116,http://www.folkways.si.edu/billy-daniels/the-saga-of-the-crocodile-hero-8/world/music/track/smithsonian
Australia,FW04102_107,http://www.folkways.si.edu/albert/untitled-song-4/world/music/track/smithsonian
Australia,FW04211_115,http://www.folkways.si.edu/billy-daniels-edward-kanora-and-hughie-temple-2/song/world/music/track/smithsonian
Australia,FW04102_124,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-by-male-group-4/world/music/track/smithsonian
Australia,FW08718_102,http://www.folkways.si.edu/john-greenway/old-bullock-dray/world/music/track/smithsonian
Australia,FW04025_127,http://www.folkways.si.edu/kelam-wop-jimmie-luffman-and-manesse-bani/dance-song-from-the-south-pacific-dance-song-from-rotuma-2/world/music/track/smithsonian
Australia,FW04102_122,http://www.folkways.si.edu/group-of-male-singers-nyangumarda/song-by-male-group-2/world/music/track/smithsonian
Australia,FW04216_123,http://www.folkways.si.edu/enossa-waiganna/old-song-from-the-oriama-river/world/music/track/smithsonian
Austria,MON00381_110,http://www.folkways.si.edu/schmiedepolka-aus-neumarkt-smith-polka-from-neumarkt/world/music/track/smithsonian
Austria,MON00725_205,http://www.folkways.si.edu/greta-keller/one-of-those-mad-and-reckless-nights/world/music/track/smithsonian
Austria,FW08839_104,http://www.folkways.si.edu/karl-zaruba/edelwaiser/world/music/track/smithsonian
Austria,FW08837_103,http://www.folkways.si.edu/karl-kubat/der-cevve/world/music/track/smithsonian
Austria,MON00510_204,http://www.folkways.si.edu/liane/melancholie-angelina/world/music/track/smithsonian
Austria,MON00381_204,http://www.folkways.si.edu/dhoflinger-buam-boys-from-hoefling/world/music/track/smithsonian
Austria,MON00510_106,http://www.folkways.si.edu/liane/dreh-dich-noch-einmal-um/world/music/track/smithsonian
Austria,FW08838_204,http://www.folkways.si.edu/karl-kubat/der-haxenschmeisser-the-leg-thrower/world/music/track/smithsonian
Austria,MON00510_102,http://www.folkways.si.edu/liane/schau-nicht-auf-die-uhr/world/music/track/smithsonian
Austria,FW08839_103,http://www.folkways.si.edu/karl-zaruba/enzianer-schuhplattler/world/music/track/smithsonian
Austria,COOK10326_204,http://www.folkways.si.edu/anita-ast-and-the-wiener-konzerschrammeln/schusterbuben-gallopp/world/music/track/smithsonian
Austria,MON00381_208,http://www.folkways.si.edu/grazer-erinnerungen-souvenirs-of-graz/world/music/track/smithsonian
Austria,MON00725_104,http://www.folkways.si.edu/greta-keller/avenue-of-love/world/music/track/smithsonian
Austria,FW06843_202,http://www.folkways.si.edu/martha-schlamme/ufm-berge-da-geht-der-wind/world/music/track/smithsonian
Austria,FW08837_101,http://www.folkways.si.edu/karl-kubat/der-siebenschritt-seven-steps/world/music/track/smithsonian
Austria,MON00381_209,http://www.folkways.si.edu/millstatter-jodler-yodel-from-millstaedt/world/music/track/smithsonian
Austria,MON00510_209,http://www.folkways.si.edu/liane/wien-wien-nur-du-allein/world/music/track/smithsonian
Austria,MON00381_108,http://www.folkways.si.edu/beim-dirndl-ihrn-fenster-under-the-girls-window/world/music/track/smithsonian
Austria,FW08837_104,http://www.folkways.si.edu/karl-kubat/die-mainzer-polka/world/music/track/smithsonian
Austria,MON00510_208,http://www.folkways.si.edu/liane/sperstund-is/world/music/track/smithsonian
Austria,MON00510_108,http://www.folkways.si.edu/liane/liebe-will-wandern/world/music/track/smithsonian
Austria,MON00510_207,http://www.folkways.si.edu/liane/frauen-sind-wie-rosen/world/music/track/smithsonian
Austria,FW08838_201,http://www.folkways.si.edu/karl-kubat/der-waldjager-the-forest-huntsman/world/music/track/smithsonian
Austria,FW08837_205,http://www.folkways.si.edu/karl-kubat/der-eiswalzer-the-ice-waltz/world/music/track/smithsonian
Austria,MON00381_109,http://www.folkways.si.edu/in-der-fruhjahrszeit-wenn-der-kuckuck-schreit-in-spring-when-the-cuckoo-sings/world/music/track/smithsonian
Austria,MON00381_210,http://www.folkways.si.edu/almerisch-alpine-waltz/world/music/track/smithsonian
Austria,MON00381_102,http://www.folkways.si.edu/wann-i-amol-beim-jodelin-bin-when-i-am-yodeling/world/music/track/smithsonian
Austria,MON00725_203,http://www.folkways.si.edu/greta-keller/i-made-me-a-dream/world/music/track/smithsonian
Austria,FW08839_201,http://www.folkways.si.edu/karl-zaruba/watschenplattler/world/music/track/smithsonian
Austria,MON00381_101,http://www.folkways.si.edu/alpensilhouetten-alpine-silhouettes/world/music/track/smithsonian
Austria,FW08837_201,http://www.folkways.si.edu/karl-kubat/der-neudeutsche-the-new-german-dance/world/music/track/smithsonian
Austria,FW08838_205,http://www.folkways.si.edu/karl-kubat/kreuzpolka-cross-polka-2/world/music/track/smithsonian
Austria,MON00725_106,http://www.folkways.si.edu/greta-keller/nightingale/world/music/track/smithsonian
Austria,FW08838_101,http://www.folkways.si.edu/karl-kubat/weifentanz-reel/world/music/track/smithsonian
Austria,MON00510_104,http://www.folkways.si.edu/liane/irgendwo-spielt-leise-musik/world/music/track/smithsonian
Austria,MON00725_105,http://www.folkways.si.edu/greta-keller/blue-heart/world/music/track/smithsonian
Austria,MON00381_201,http://www.folkways.si.edu/drobn-am-zinken-on-top-of-the-zinken/world/music/track/smithsonian
Austria,MON00510_201,http://www.folkways.si.edu/liane/komm-mit-mir-ins-chambre-separee-du-nur-du-und-wieder-du-caprice-viennoise/world/music/track/smithsonian
Austria,FW08839_205,http://www.folkways.si.edu/karl-zaruba/trauntaler-schuhplattler/world/music/track/smithsonian
Austria,MON00381_104,http://www.folkways.si.edu/ennstaler-alphornweisen-alpine-horn-tunes-from-ennstal/world/music/track/smithsonian
Austria,FW08837_105,http://www.folkways.si.edu/karl-kubat/der-offene-walzer-the-open-waltz/world/music/track/smithsonian
Austria,MON00725_202,http://www.folkways.si.edu/greta-keller/its-the-moonlight/world/music/track/smithsonian
Austria,FW06843_203,http://www.folkways.si.edu/martha-schlamme/bei-mondenschein/world/music/track/smithsonian
Austria,FW08838_103,http://www.folkways.si.edu/karl-kubat/das-blumerl-the-little-flower/world/music/track/smithsonian
Austria,MON00510_206,http://www.folkways.si.edu/liane/the-third-man-theme/world/music/track/smithsonian
Austria,MON00725_103,http://www.folkways.si.edu/greta-keller/for-every-love-there-is-a-melody/world/music/track/smithsonian
Austria,FW08838_104,http://www.folkways.si.edu/karl-kubat/die-marschier-polka-the-marching-polka/world/music/track/smithsonian
Austria,MON00381_105,http://www.folkways.si.edu/in-die-berg-bin-i-gern-i-love-to-be-in-the-mountains/world/music/track/smithsonian
Austria,COOK10326_202,http://www.folkways.si.edu/anita-ast-and-the-wiener-konzerschrammeln/wienberln-und-zibeben/world/music/track/smithsonian
Austria,FW08837_202,http://www.folkways.si.edu/karl-kubat/kuckucks-polka-cuckoo-polka/world/music/track/smithsonian
Austria,MON00381_203,http://www.folkways.si.edu/murwellen-walzer-waves-of-the-mur-waltz/world/music/track/smithsonian
Austria,MON00510_103,http://www.folkways.si.edu/liane/was-dir-mein-mund-verschwieg-bis-heut-kaffeehaeferllandler-der-abschied-von-dir-war-ein-abschied-vom-gluck/world/music/track/smithsonian
Austria,FW08838_202,http://www.folkways.si.edu/karl-kubat/studentenpolka-students-polka/world/music/track/smithsonian
Austria,FW08837_203,http://www.folkways.si.edu/karl-kubat/der-deutsche-umgang-the-german-promenade/world/music/track/smithsonian
Austria,MON00725_206,http://www.folkways.si.edu/greta-keller/all-the-lips-i-never-kissed/world/music/track/smithsonian
Austria,MON00725_102,http://www.folkways.si.edu/greta-keller/theres-a-time-to-be-sunkissed/world/music/track/smithsonian
Austria,COOK10326_201,http://www.folkways.si.edu/anita-ast-and-the-wiener-konzerschrammeln/gruss-aus-wien-medley/world/music/track/smithsonian
Austria,FW08839_204,http://www.folkways.si.edu/karl-zaruba/dachuer-schuhplattler/world/music/track/smithsonian
Austria,MON00725_201,http://www.folkways.si.edu/greta-keller/my-man-is-the-busiest-man-in-town/world/music/track/smithsonian
Austria,FW08837_204,http://www.folkways.si.edu/karl-kubat/nickelsdorfer-schottisch/world/music/track/smithsonian
Austria,COOK10326_205,http://www.folkways.si.edu/anita-ast-and-the-wiener-konzerschrammeln/fischertoni-marsch/world/music/track/smithsonian
Austria,MON00510_107,http://www.folkways.si.edu/liane/mit-zwei-augen-wie-den-deinen-fliege-mit-mir-in-die-heimat-auf-wiedersehen/world/music/track/smithsonian
Austria,FW06843_103,http://www.folkways.si.edu/martha-schlamme/rosestock-holderbluet-landler/world/music/track/smithsonian
Austria,FW08838_106,http://www.folkways.si.edu/karl-kubat/der-neubayrische-the-new-bavarian-dance/world/music/track/smithsonian
Austria,FW08838_105,http://www.folkways.si.edu/karl-kubat/das-spinnradl-the-little-spinning-wheel/world/music/track/smithsonian
Austria,FW08838_206,http://www.folkways.si.edu/karl-kubat/rheinlander-rehnish-dance/world/music/track/smithsonian
Austria,MON00510_101,http://www.folkways.si.edu/liane/komm-die-kaiserin-will-tanzen-kussen-ist-keine-sund-wien-du-stadt-meiner-traume/world/music/track/smithsonian
Austria,FW08837_206,http://www.folkways.si.edu/karl-kubat/die-ennstaler-polka-the-enns-valley-polka/world/music/track/smithsonian
Austria,FW08838_203,http://www.folkways.si.edu/karl-kubat/reidlinger-schottisch/world/music/track/smithsonian
Austria,MON00381_202,http://www.folkways.si.edu/erzherzog-johann-jodler-erzherzog-johann-yodel/world/music/track/smithsonian
Botswana,FW04487_103,http://www.folkways.si.edu/thumb-played-metal-instrument-3/world/music/track/smithsonian
Botswana,ILAMTR109B_103,http://www.folkways.si.edu/group-of-kwena-men/kgaka-e-tswher-we-ke-mutloane-mamonope!/track/smithsonian
Botswana,FW04371_208,http://www.folkways.si.edu/twenty-women-from-tsetseng/basarwa-bushmen-selections-basarwa-song-3/world/music/track/smithsonian
Botswana,ILAMTR112_102,http://www.folkways.si.edu/group-of-lete-men/etso-ga-ke-batle-e-ejwa/track/smithsonian
Botswana,FW04371_202,http://www.folkways.si.edu/a-small-froup-of-women-from-mochudi/tribal-songs-of-batswana-speak-to-us/world/music/track/smithsonian
Botswana,FW04487_203,http://www.folkways.si.edu/conversation/world/music/track/smithsonian
Botswana,FW04371_206,http://www.folkways.si.edu/twenty-women-from-tsetseng/basarwa-bushmen-selections-basarwa-song/world/music/track/smithsonian
Botswana,FW04371_212,http://www.folkways.si.edu/young-masarawa-woman-recorded-in-the-village-of-kang/basarwa-bushmen-selections-basarwa-instrumental-selection-setinkane-mbira/world/music/track/smithsonian
Botswana,FW04371_203,http://www.folkways.si.edu/twenty-men-from-mochundi/tribal-songs-of-batswana-the-hills-of-mourning/world/music/track/smithsonian
Botswana,FW04371_204,http://www.folkways.si.edu/twenty-men-from-mochundi/tribal-songs-of-batswana-the-children-of-the-lion-have-been-called-up/world/music/track/smithsonian
Botswana,ILAMTR109A_101,http://www.folkways.si.edu/keilediwe-modise-leading-group-of-middle-aged-and-elderly-ngwaketse-men/maolo-di-phepa/track/smithsonian
Botswana,FW04487_113,http://www.folkways.si.edu/bamboo-fiddle-2/world/music/track/smithsonian
Botswana,ILAMTR109A_102,http://www.folkways.si.edu/large-group-of-ngwaketse-men-and-women/pula/track/smithsonian
Botswana,FW04371_112,http://www.folkways.si.edu/older-women-in-the-village-of-gabane/tribal-songs-of-batswana-the-fowl-are-eating-the-sorghum/world/music/track/smithsonian
Botswana,FW04487_105,http://www.folkways.si.edu/childrens-song/world/music/track/smithsonian
Botswana,FW04487_112,http://www.folkways.si.edu/bamboo-fiddle/world/music/track/smithsonian
Botswana,FW04371_209,http://www.folkways.si.edu/a-young-masarwa-women-in-the-village-of-kang/basarwa-bushmen-selections-basarwa-instrumental-selection-lengope-mouth-bow/world/music/track/smithsonian
Botswana,FW04316_202,http://www.folkways.si.edu/women-singers-with-a-male-drum-player/drum-dance/world/music/track/smithsonian
Botswana,FW04316_103,http://www.folkways.si.edu/a-san-woman-singing/giraffe-dance/world/music/track/smithsonian
